rank,name,title,status,commits,description,last_updated,last_checked,builder,has_screenshots,has_icon,has_prompts,prompt_count,repo_url,landing_url,categories
487,defi-gas-efficiency-analyzer,Defi Gas Efficiency Analyzer,Active,4,DeFi Gas Efficiency Analyzer is a Mini App that monitors and analyzes gas consumption across DeFi protocols and transactions.,2025-11-22T15:51:46Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defi-gas-efficiency-analyzer,https://defi-gas-efficiency-analyzer.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Tracker, Trading"
488,defi-protocols,Defi Protocols,Active,4,Learn about DeFi with this app.,2025-11-21T16:43:31Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defi-protocols,https://defi-protocols.miniapp-factory.marketplace.openxai.network,"Crypto, DeFi, Education, Language Learning"
489,defi-tvl-alert,Defi Tvl Alert,Active,4,DeFi TVL Alert is a Mini App that monitors Total Value Locked (TVL) across multiple DeFi protocols in real time.,2025-11-22T13:00:42Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defi-tvl-alert,https://defi-tvl-alert.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Tracker"
490,defilending,Defilending,Active,4,DeFi Lending Tracker is a Mini App that monitors lending and borrowing rates across major DeFi platforms.,2025-11-20T19:13:34Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defilending,https://defilending.miniapp-factory.marketplace.openxai.network,"Platformer, Tracker"
491,defiliquidationwatch,Defiliquidationwatch,Active,4,DeFi Liquidation Watch is a Mini App that monitors borrowing positions across DeFi platforms to detect liquidation risks.,2025-11-22T09:53:02Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defiliquidationwatch,https://defiliquidationwatch.miniapp-factory.marketplace.openxai.network,"Fitness, Health, Platformer"
492,defimargincallalert,Defimargincallalert,Active,4,DeFi Margin Call Alert is a Mini App that monitors borrowing positions across DeFi lending and margin trading protocols.,2025-11-22T16:54:05Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defimargincallalert,https://defimargincallalert.miniapp-factory.marketplace.openxai.network,"Finance, Fitness, Health, Platformer"
493,defiriskscanner,Defiriskscanner,Active,4,DeFi Risk Scanner is a Mini App that helps users assess the safety and risk levels of decentralized finance protocols.,2025-11-20T17:46:58Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defiriskscanner,https://defiriskscanner.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Finance, Tracker"
494,defiroitracker,Defiroitracker,Active,4,DeFi ROI Tracker helps investors monitor the performance and profitability of their DeFi investments in real-time.,2025-11-20T21:18:57Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defiroitracker,https://defiroitracker.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Portfolio, Tracker"
495,defitracker,Defitracker,Active,4,DeFi Governance Tracker is a Mini App that allows users to monitor governance proposals and voting activity across decentralized finance protocols.,2025-11-20T18:38:36Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defitracker,https://defitracker.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Finance, Social, Tracker"
496,defiyield,Defiyield,Active,4,DeFi Yield Aggregator provides users with real-time information on the best yield opportunities across multiple DeFi platforms.,2025-11-21T09:50:30Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defiyield,https://defiyield.miniapp-factory.marketplace.openxai.network,Platformer
497,defiyieldfinder,Defiyieldfinder,Active,4,DeFi Yield Finder is a Mini App that helps users discover the best yield opportunities across decentralized finance protocols.,2025-11-20T17:39:03Z,2025-11-25T12:43:53.170474,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/defiyieldfinder,https://defiyieldfinder.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Finance, Portfolio"
74,deligrow,Deligrow,Active,4,Una aplicación para gestionar el cultivo y la entrega de vegetales.,2025-11-24T01:43:46Z,2025-11-24T16:26:11.206743,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/deligrow,https://deligrow.miniapp-factory.marketplace.openxai.network,Utility
498,demof,Demof,Active,4,"A mini app that lets users exchange, resell, or give away event tickets securely and easily.",2025-11-20T19:35:24Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/demof,https://demof.miniapp-factory.marketplace.openxai.network,"Platformer, Social"
499,derty,Derty,Active,4,An app that calculates the average of student grades.,2025-11-21T16:35:28Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/derty,https://derty.miniapp-factory.marketplace.openxai.network,Utility
292,destroy-machine,Destroy Machine,Active,5,Play the classic 2048 game in this mini app.,2025-11-21T11:33:04Z,2025-11-25T00:01:19.852430,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/destroy-machine,https://destroy-machine.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
884,devil-app,Devil App,Active,2,"Slot machine with 3 columns and 3 rows, each slot contains one fruit.",2025-11-20T16:28:00Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/devil-app,https://devil-app.miniapp-factory.marketplace.openxai.network,"Casino, Social"
500,dex-slippage-guard,Dex Slippage Guard,Active,4,DEX Slippage Guard is a Mini App that monitors slippage levels across decentralized exchanges in real time.,2025-11-22T12:34:26Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dex-slippage-guard,https://dex-slippage-guard.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, Tracker, Trading"
501,dexarbitrage,Dexarbitrage,Active,4,"A Mini App that scans decentralized exchanges in real time to identify profitable arbitrage opportunities, comparing token prices across multiple...",2025-11-20T19:31:34Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dexarbitrage,https://dexarbitrage.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, Tracker, Trading"
502,dexvolemetracker,Dexvolemetracker,Active,4,DEX Volume Tracker is a Mini App that monitors trading volumes across decentralized exchanges in real time.,2025-11-22T09:32:48Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dexvolemetracker,https://dexvolemetracker.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Finance, Tracker, Trading"
503,dexvolume,Dexvolume,Active,4,"Detect sudden increases in trading volume across decentralized exchanges in real time, providing alerts and trend charts for crypto traders,...",2025-11-21T07:35:53Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dexvolume,https://dexvolume.miniapp-factory.marketplace.openxai.network,"Alert, Crypto, DeFi, Tracker, Trading"
,digital-pet,Digital Pet,Pending,,,,,,,,,,https://github.com/miniapp-factory/digital-pet,https://digital-pet.miniapp-factory.marketplace.openxai.network,
885,dik,Dik,Active,2,"Allows someone to find out which animal (cat, dog, fox, hamster, horse) they are most similar to by answering 5 multiple.",2025-11-20T16:52:29Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dik,https://dik.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
,dingo-fun,Dingo Fun,Pending,,,,,,,,,,https://github.com/miniapp-factory/dingo-fun,https://dingo-fun.miniapp-factory.marketplace.openxai.network,
,dino-dress,Dino Dress,Pending,,,,,,,,,,https://github.com/miniapp-factory/dino-dress,https://dino-dress.miniapp-factory.marketplace.openxai.network,
927,dm-app,Dm App,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T08:12:33Z,2025-11-25T12:54:00.780374,,Yes,Yes,No,0,https://github.com/miniapp-factory/dm-app,https://dm-app.miniapp-factory.marketplace.openxai.network,AI
,do-you-thing,Do You Thing,Pending,,,,,,,,,,https://github.com/miniapp-factory/do-you-thing,https://do-you-thing.miniapp-factory.marketplace.openxai.network,
504,document-assistant,Document Assistant,Active,4,"Finds, summarizes, and answers questions about documents.",2025-11-22T08:37:55Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/document-assistant,https://document-assistant.miniapp-factory.marketplace.openxai.network,AI
233,dokken,Dokken,Active,7,Find out which animal you are most similar to with our fun quiz!,2025-11-21T04:08:02Z,2025-11-24T23:14:32.222489,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dokken,https://dokken.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
505,donnaapp,Donnaapp,Active,4,Play the classic 2048 game in the Mini App Factory!,2025-11-21T04:27:37Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/donnaapp,https://donnaapp.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
928,dont-worry,Dont Worry,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-20T15:43:48Z,2025-11-25T12:54:00.780374,,Yes,Yes,No,0,https://github.com/miniapp-factory/dont-worry,https://dont-worry.miniapp-factory.marketplace.openxai.network,AI
506,doodle-mint,Doodle Mint,Active,4,Create and mint pixel-perfect doodles on the Base network.,2025-11-22T03:50:33Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/doodle-mint,https://doodle-mint.miniapp-factory.marketplace.openxai.network,Game
507,dope,Dope,Active,4,Play the classic 2048 game in this mini app.,2025-11-20T23:07:17Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dope,https://dope.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
75,dotsandboxesmini,Dotsandboxesmini,Active,4,This app guides users on how and where to donate effectively.,2025-11-23T03:04:15Z,2025-11-24T17:03:11.689790,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dotsandboxesmini,https://dotsandboxesmini.miniapp-factory.marketplace.openxai.network,Other
12,dragon-hunter,Dragon Hunter,Active,9,Find out which animal you are most similar to!,2025-11-23T15:07:08Z,2025-11-24T13:56:57.547145,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/dragon-hunter,https://dragon-hunter.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
508,dragonbase,Dragonbase,Active,4,Test your IQ with quick and full tests. No login required.,2025-11-25T13:36:32Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dragonbase,https://dragonbase.miniapp-factory.marketplace.openxai.network,"Game, Social"
509,dreaminterpreter,Dreaminterpreter,Active,4,An app that interprets user dreams symbolically.,2025-11-22T15:48:10Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dreaminterpreter,https://dreaminterpreter.miniapp-factory.marketplace.openxai.network,Utility
510,drip,Drip,Active,4,Discover which animal you are most similar to by answering a fun quiz!,2025-11-20T18:03:18Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/drip,https://drip.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
130,dukdue,Dukdue,Active,10,DukduE is a blockchain-powered meme project blending the creativity of AI and the community.,2025-11-21T17:34:12Z,2025-11-24T23:14:32.222489,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/dukdue,https://dukdue.miniapp-factory.marketplace.openxai.network,"Crypto, Social"
511,dulal,Dulal,Active,4,Discover which animal you are most similar to with our fun quiz!,2025-11-21T16:31:49Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dulal,https://dulal.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
25,dzandirr,Dzandirr,Active,4,A modern platform for building and sharing mini applications.,2025-11-23T23:18:35Z,2025-11-24T16:26:11.206743,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/dzandirr,https://dzandirr.miniapp-factory.marketplace.openxai.network,Utility
929,echo-app,Echo App,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T08:31:24Z,2025-11-25T12:54:00.780374,,Yes,Yes,No,0,https://github.com/miniapp-factory/echo-app,https://echo-app.miniapp-factory.marketplace.openxai.network,AI
26,edge-22,Edge 22,Active,4,"Edge 22 is a fast, strategic card game inspired by Blackjack but built with completely new rules, special cards, and a fresh scoring system.",2025-11-23T21:36:02Z,2025-11-24T16:26:11.206743,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/edge-22,https://edge-22.miniapp-factory.marketplace.openxai.network,Card Game
512,ehte,Ehte,Active,4,Play a simple number guessing game where you try to guess a random number between 1 and 100.,2025-11-21T16:39:56Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ehte,https://ehte.miniapp-factory.marketplace.openxai.network,Game
,elemental-blocks,Elemental Blocks,Pending,,,,,,,,,,https://github.com/miniapp-factory/elemental-blocks,https://elemental-blocks.miniapp-factory.marketplace.openxai.network,
930,eligablity,Eligablity,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T04:24:50Z,2025-11-25T12:54:00.780374,,Yes,Yes,No,0,https://github.com/miniapp-factory/eligablity,https://eligablity.miniapp-factory.marketplace.openxai.network,AI
513,elsa,Elsa,Active,4,Spin the slot machine and win fruit prizes!,2025-11-21T04:58:18Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/elsa,https://elsa.miniapp-factory.marketplace.openxai.network,"Casino, Social"
,emoji-quiz-game,Emoji Quiz Game,Pending,,,,,,,,,,https://github.com/miniapp-factory/emoji-quiz-game,https://emoji-quiz-game.miniapp-factory.marketplace.openxai.network,
514,emojigame,Emojigame,Active,4,Guess phrases from emojis in this fun mini‑app!,2025-11-21T09:41:49Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/emojigame,https://emojigame.miniapp-factory.marketplace.openxai.network,Puzzle
515,emojimeaning,Emojimeaning,Active,4,Guess the phrase represented by a series of emojis.,2025-11-22T08:43:17Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/emojimeaning,https://emojimeaning.miniapp-factory.marketplace.openxai.network,Utility
516,emojitranslator,Emojitranslator,Active,4,Translate sentences into emojis,2025-11-20T15:34:33Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/emojitranslator,https://emojitranslator.miniapp-factory.marketplace.openxai.network,Utility
,endless-arcane-runner-game,Endless Arcane Runner Game,Pending,,,,,,,,,,https://github.com/miniapp-factory/endless-arcane-runner-game,https://endless-arcane-runner-game.miniapp-factory.marketplace.openxai.network,
,endless-runner,Endless Runner,Pending,,,,,,,,,,https://github.com/miniapp-factory/endless-runner,https://endless-runner.miniapp-factory.marketplace.openxai.network,
517,endlessrunner,Endlessrunner,Active,4,An app that produces layouts from user information.,2025-11-23T02:19:39Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/endlessrunner,https://endlessrunner.miniapp-factory.marketplace.openxai.network,Generator
518,entry-exit-planne,Entry Exit Planne,Active,4,A simple offline tool to plan and organize trade entries and exits.,2025-11-21T14:37:16Z,2025-11-25T12:54:00.780374,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/entry-exit-planne,https://entry-exit-planne.miniapp-factory.marketplace.openxai.network,Card Game
,epistemology,Epistemology,Inactive,0,Epistemology mini app on Mini App Factory,2025-11-26T13:16:21.731036,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/epistemology,https://epistemology.miniapp-factory.marketplace.openxai.network,Inactive
519,era,Era,Active,4,Find out which animal you are most similar to with our fun quiz!,2025-11-20T18:48:26Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/era,https://era.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
520,erenda,Erenda,Active,4,Play the classic 2048 game in the Mini App Factory!,2025-11-20T15:53:24Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/erenda,https://erenda.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
249,eric,Eric,Active,6,Play the classic 2048 game in the Mini App Factory!,2025-11-21T08:18:26Z,2025-11-24T23:14:32.222489,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/eric,https://eric.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
,eth,Eth,Pending,,,,,,,,,,https://github.com/miniapp-factory/eth,https://eth.miniapp-factory.marketplace.openxai.network,
293,everln,Everln,Active,5,Play the classic 2048 game and share your score!,2025-11-20T18:44:27Z,2025-11-25T00:01:19.852430,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/everln,https://everln.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
521,everyx,Everyx,Active,4,Spin the slot machine and win fruit combos!,2025-11-20T18:46:31Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/everyx,https://everyx.miniapp-factory.marketplace.openxai.network,"Casino, Social"
,evo,Evo,Pending,,,,,,,,,,https://github.com/miniapp-factory/evo,https://evo.miniapp-factory.marketplace.openxai.network,
,evolve,Evolve,Inactive,7,Evolve mini app on Mini App Factory,2025-11-25T13:26:08Z,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/evolve,https://evolve.miniapp-factory.marketplace.openxai.network,Inactive
522,exctrator,Exctrator,Active,4,"Extract names, phone numbers, and locations from images and export them to a spreadsheet.",2025-11-20T21:56:15Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/exctrator,https://exctrator.miniapp-factory.marketplace.openxai.network,Utility
523,exit-strategy-planner,Exit Strategy Planner,Active,4,Create a simple app that helps users plan their exit strategy for any token.,2025-11-22T09:03:59Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/exit-strategy-planner,https://exit-strategy-planner.miniapp-factory.marketplace.openxai.network,Game
,expense-manager,Expense Manager,Pending,,,,,,,,,,https://github.com/miniapp-factory/expense-manager,https://expense-manager.miniapp-factory.marketplace.openxai.network,
524,ezswap,Ezswap,Active,4,A quick swap button that shows wallet balances with dynamic effects.,2025-11-20T21:33:52Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ezswap,https://ezswap.miniapp-factory.marketplace.openxai.network,"Crypto, Portfolio"
525,fabeau,Fabeau,Active,4,A Next.js template for building Farcaster mini apps with shadcn components and Tailwind CSS.,2025-11-21T09:32:59Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fabeau,https://fabeau.miniapp-factory.marketplace.openxai.network,Game
526,factorcap,Factorcap,Active,4,A simple app that tells you if a statement is a fact or a cap and explains why.,2025-11-22T15:34:15Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/factorcap,https://factorcap.miniapp-factory.marketplace.openxai.network,Utility
527,faketweet,Faketweet,Active,4,Generate funny fake tweets about any topic.,2025-11-22T15:41:58Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/faketweet,https://faketweet.miniapp-factory.marketplace.openxai.network,Generator
,falling-letters,Falling Letters,Pending,,,,,,,,,,https://github.com/miniapp-factory/falling-letters,https://falling-letters.miniapp-factory.marketplace.openxai.network,
,falling-sand-game,Falling Sand Game,Inactive,0,Falling Sand Game mini app on Mini App Factory,2025-11-26T13:16:21.731081,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/falling-sand-game,https://falling-sand-game.miniapp-factory.marketplace.openxai.network,Inactive
76,fallingblocksmini,Fallingblocksmini,Active,4,Generate email templates and subject lines effortlessly.,2025-11-23T02:34:29Z,2025-11-24T17:03:11.689790,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fallingblocksmini,https://fallingblocksmini.miniapp-factory.marketplace.openxai.network,Generator
42,fallingplatforms,Fallingplatforms,Active,6,A simple app that translates short texts or messages.,2025-11-23T03:00:28Z,2025-11-24T17:03:11.689790,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fallingplatforms,https://fallingplatforms.miniapp-factory.marketplace.openxai.network,Utility
294,farage,Farage,Active,5,Show your Farcaster age and share it with friends.,2025-11-22T09:09:19Z,2025-11-25T00:01:19.852430,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/farage,https://farage.miniapp-factory.marketplace.openxai.network,Social
295,farcaster-portfolio,Farcaster Portfolio,Active,5,"View all token holdings, hidden tokens, and unclaimed airdrops for each Farcaster wallet.",2025-11-22T20:46:29Z,2025-11-25T00:01:19.852430,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/farcaster-portfolio,https://farcaster-portfolio.miniapp-factory.marketplace.openxai.network,"Airdrop, Crypto, Finance, Portfolio"
146,farcore,Farcore,Active,9,Design your home in a virtual environment and enjoy the experience.,2025-11-20T18:55:41Z,2025-11-24T23:14:32.222489,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/farcore,https://farcore.miniapp-factory.marketplace.openxai.network,Utility
528,farmminiharvest,Farmminiharvest,Active,4,Plant and harvest crops.,2025-11-22T08:45:00Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/farmminiharvest,https://farmminiharvest.miniapp-factory.marketplace.openxai.network,Other
529,fast,Fast,Active,4,"A simple, interactive app that guides users through a personalized weight loss program.",2025-11-21T05:14:30Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fast,https://fast.miniapp-factory.marketplace.openxai.network,Utility
530,fasttapfrenzy,Fasttapfrenzy,Active,4,A minimalistic app showcasing the Mini App Factory,2025-11-22T08:38:43Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fasttapfrenzy,https://fasttapfrenzy.miniapp-factory.marketplace.openxai.network,Utility
531,fedro,Fedro,Active,4,A simple text-based animation demo app.,2025-11-21T17:02:01Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fedro,https://fedro.miniapp-factory.marketplace.openxai.network,Game
532,feel-flow,Feel Flow,Active,4,A simple chat app you can use wherever you are.,2025-11-22T09:11:23Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/feel-flow,https://feel-flow.miniapp-factory.marketplace.openxai.network,Chat
886,felix,Felix,Active,2,"Allows someone to find out which animal (cat, dog, fox, hamster, horse) they are most similar to by answering 5 multiple.",2025-11-23T01:56:39Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/felix,https://felix.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
533,ffree,Ffree,Active,4,A simple Python program that counts words and characters in user input.,2025-11-21T15:39:12Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ffree,https://ffree.miniapp-factory.marketplace.openxai.network,Utility
534,fidget-spinner,Fidget Spinner,Active,4,"Relax, focus, and have fun!",2025-11-22T09:11:39Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fidget-spinner,https://fidget-spinner.miniapp-factory.marketplace.openxai.network,Game
,fili-food,Fili Food,Pending,,,,,,,,,,https://github.com/miniapp-factory/fili-food,https://fili-food.miniapp-factory.marketplace.openxai.network,
535,financ,Financ,Active,4,"Track your income, expenses, budgets, and savings goals with ease.",2025-11-20T21:40:56Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/financ,https://financ.miniapp-factory.marketplace.openxai.network,"AI, Entertainment, Finance, Fitness, Health, Platformer, Social"
,firefly-keeper,Firefly Keeper,Inactive,4,Firefly Keeper mini app on Mini App Factory,2025-11-24T11:44:04Z,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/firefly-keeper,https://firefly-keeper.miniapp-factory.marketplace.openxai.network,Inactive
13,fireplace,Fireplace,Active,9,A demo app showing WebSocket ping‑pong functionality.,2025-11-23T19:00:16Z,2025-11-24T16:26:11.206743,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/fireplace,https://fireplace.miniapp-factory.marketplace.openxai.network,Game
931,fitjourney,Fitjourney,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T08:33:02Z,2025-11-25T13:11:36.611067,,Yes,Yes,No,0,https://github.com/miniapp-factory/fitjourney,https://fitjourney.miniapp-factory.marketplace.openxai.network,AI
536,fitness,Fitness,Active,4,"FitGen is a mobile app that helps users track workouts, diet, and wellness habits, offering personalized training plans, meal recommendations,...",2025-11-20T20:41:19Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fitness,https://fitness.miniapp-factory.marketplace.openxai.network,"Education, Fitness, Health, Social"
932,fitness-tracker,Fitness Tracker,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T14:00:33Z,2025-11-25T13:11:36.611067,,Yes,Yes,No,0,https://github.com/miniapp-factory/fitness-tracker,https://fitness-tracker.miniapp-factory.marketplace.openxai.network,"AI, Fitness, Health"
887,fitnesshealth,Fitnesshealth,Active,2,"Provides short, effective workouts for any level.",2025-11-22T09:04:46Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fitnesshealth,https://fitnesshealth.miniapp-factory.marketplace.openxai.network,"AI, AI Chat, Chat, Crypto, Education, Entertainment, Fitness, Health, Tracker"
537,fitnessmini,Fitnessmini,Active,4,A quick 3‑minute workout routine to keep you fit.,2025-11-22T15:34:50Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fitnessmini,https://fitnessmini.miniapp-factory.marketplace.openxai.network,"Fitness, Generator, Health"
538,fitnesstip,Fitnesstip,Active,4,Get a daily fitness tip tailored to your goals!,2025-11-20T16:16:05Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/fitnesstip,https://fitnesstip.miniapp-factory.marketplace.openxai.network,"Fitness, Health"
234,flappy-coin,Flappy Coin,Active,7,A fun crypto-themed mini game where you flap a coin to earn tiny token rewards.,2025-11-21T03:51:06Z,2025-11-24T23:14:32.222489,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/flappy-coin,https://flappy-coin.miniapp-factory.marketplace.openxai.network,"Game, Social"
539,flappyclone,Flappyclone,Active,4,"A minimal Next.js app template using Shadcn UI components, tailored for the Mini App Factory.",2025-11-23T02:18:50Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/flappyclone,https://flappyclone.miniapp-factory.marketplace.openxai.network,Other
540,flashbase-bets,Flashbase Bets,Active,4,Ultra‑fast 5–60 minute prediction markets on anything.,2025-11-22T08:54:44Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/flashbase-bets,https://flashbase-bets.miniapp-factory.marketplace.openxai.network,"Game, Social"
541,flashloan,Flashloan,Active,4,"Flash Loan Tracker monitors large flash loan transactions in real-time, helping traders and analysts detect unusual market activity and potential...",2025-11-20T21:44:43Z,2025-11-25T13:11:36.611067,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/flashloan,https://flashloan.miniapp-factory.marketplace.openxai.network,"Finance, Platformer, Tracker"
